transaction_id,account_id,date,time,ticker,transaction_type,quantity
TXN_00001,5775818865,2024-10-01,15:36:13,AAPL,buy,2331
TXN_00002,6772985563,2024-01-24,15:05:43,JPM,sell,1677
TXN_00003,5229455093,2025-03-28,09:41:18,META,buy,1052
TXN_00004,5970995017,2024-04-23,10:35:33,NVDA,sell,2317
TXN_00005,5229455093,2024-02-20,10:21:02,GOOG,buy,2030
TXN_00006,7713225623,2025-03-12,11:00:37,META,buy,1299
TXN_00007,4313201683,2025-07-05,13:26:29,NVDA,sell,692
TXN_00008,6772985563,2024-03-20,10:53:29,NVDA,buy,1168
TXN_00009,9474078998,2024-07-05,13:08:16,AAPL,sell,1673
TXN_00010,1402944639,2024-02-11,12:15:13,GOOG,buy,2250
TXN_00011,9803134690,2025-07-31,13:50:22,NVDA,sell,1476
TXN_00012,9862896116,2024-05-30,12:54:43,JPM,buy,345
TXN_00013,4313201683,2024-06-13,11:16:14,JPM,sell,2276
TXN_00014,6625608873,2024-04-25,10:17:25,NFLX,buy,779
TXN_00015,5775818865,2025-03-31,11:20:40,NFLX,buy,1520
TXN_00016,5150695988,2024-03-08,15:48:32,AAPL,buy,240
TXN_00017,5229455093,2025-04-02,13:01:35,JPM,sell,196
TXN_00018,5150695988,2024-08-10,14:31:28,AAPL,buy,602
TXN_00019,1926010870,2024-11-30,15:07:33,TSLA,sell,848
TXN_00020,5229455093,2025-03-23,14:36:51,AAPL,sell,185
TXN_00021,8093597035,2024-05-23,11:49:53,TSLA,buy,1947
TXN_00022,1926010870,2024-01-10,12:05:58,NVDA,sell,1283
TXN_00023,6772985563,2024-09-06,09:06:55,NVDA,buy,1816
TXN_00024,5970995017,2024-07-28,13:43:48,META,buy,1468
TXN_00025,7713225623,2024-03-08,13:34:54,META,sell,625
TXN_00026,7713225623,2024-10-16,11:44:59,AMZN,sell,2380
TXN_00027,5775818865,2024-02-18,12:56:40,NVDA,sell,455
TXN_00028,6772985563,2025-06-23,15:01:28,NFLX,buy,504
TXN_00029,6625608873,2024-12-12,09:12:48,NVDA,sell,184
